회사명	종목코드
디엔에프	092070
디엠티	134580
디오	039840
디오스텍	196450
디와이	013570
디와이파워	210540
디이엔티	079810
디자인	227100
디젠스	113810
디지아이	043360
디지캡	197140
디지탈옵틱	106520
디지털대성	068930
디지틀조선	033130
디케이디앤아이	033310
디케이락	105740
디케이앤디	263020
디케이티	290550
디티알오토모티브	007340
디티앤씨	187220
디피씨	026890
딜리	131180
라온시큐어	042510
라이브플렉스	050120
라이온켐텍	171120
라이트론	069540
락앤락	115390
램테크놀러지	171010
랩지노믹스	084650
러셀	217500
럭슬	033600
레고켐바이오	141080
레드로버	060300
레드캡투어	038390
레이언스	228850
로고스바이오	238120
로보로보	215100
로보스타	090360
로보티즈	108490
로지시스	067730
로체시스템즈	071280
롯데관광개발	032350
롯데쇼핑	023530
롯데정밀화학	004000
롯데정보통신	286940
롯데제과	280360
롯데칠성음료	005300
롯데케미칼	011170
롯데푸드	002270
롯데하이마트	071840
루멘스	038060
루미마이크로	082800
루트로닉	085370
룽투코리아	060240
리노공업	058470
리노스	039980
리더스 기술투자	019570
리더스코스메틱	016100
리드	197210
리드코프	012700
리켐	131100
리켐	131100
린드먼아시아	277070
링네트	042500
링크제니시스	219420
마니커	027740
마이크로컨텍솔	098120
마이크로텍	227950
마이크로프랜드	147760
마제스타	035480
마크로젠	038290
만도	204320
만호제강	001080
매일유업	267980
매일홀딩스	005990
매직마이크로	127160
매커스	093520
맥스로텍	141070
머큐리	100590
멀티캠퍼스	067280
메가스터디	072870
메가스터디교육	215200
메가엠디	133750
메디아나	041920
메디톡스	086900
메디파트너생명공학	015540
메디포스트	078160
메디프론	065650
메지온	140410
메카로	241770
메타랩스	090370
메타바이오메드	059210
멕아이씨에스	058110
멜파스	096640
명문제약	017180
명성티엔에스	257370
모나리자	012690
모나미	005360
모다	149940
모다이노칩	080420
모두투어	080160
모두투어리츠	204210
모바일리더	100030
모바일어플라이언스	087260
모베이스	101330
모비스	250060
모아텍	033200
모토닉	009680
모트렉스	118990
모헨즈	006920
무림P&P	009580
무림SP	001810
무림페이퍼	009200
무학	033920
문배철강	008420
미래SCI	028040
미래나노텍	095500
미래산업	025560
미래생명자원	218150
미래아이앤지	007120
미래컴퍼니	049950
미래테크놀로지	213090
미스터블루	207760
미원상사	002840
미원에스씨	268280
미원홀딩스	107590
미원화학	134380
미창석유공업	003650
미코	059090
미투온	201490
민앤지	214180
바다로19호	155900
바디텍메드	206640
바른손	018700
바른손이앤에이	035620
바른전자	064520
바른테크놀로지	029480
바이넥스	053030
바이오니아	064550
바이오로그디바이스	208710
바이오리더스	142760
바이오빌	065940
바이오솔루션	086820
바이오스마트	038460
바이오제네틱스	044480
바이오톡스텍	086040
바이온	032980
바텍	043150
배럴	267790
백광산업	001340
백광소재	014580
백금T&A	046310
백산	035150
버추얼텍	036620
버킷스튜디오	066410
범양건영	002410
베뉴지	019010
베셀	177350
베스파	299910
벽산	007210
보광산업	225530
보라티알	250000
보락	002760
보령메디앙스	014100
보령제약	003850
보성파워텍	006910
보해양조	000890
본느	226340
부광약품	003000
부국철강	026940
부방	014470
부산도시가스	015350
부산산업	011390
부산주공	005030
부스타	008470
뷰웍스	100120
브레인콘텐츠	066980
브리지텍	064480
브이원텍	251630
블러썸엠앤씨	263920
블루콤	033560
비덴트	121800
비디아이	148140
비상교육	100220
비씨월드제약	200780
비아트론	141000
비에이치	090460
비에이치아이	083650
비엠티	086670
비즈니스온	138580
비츠로셀	082920
비츠로시스	054220
비츠로테크	042370
비트컴퓨터	032850
비티원	101140
비피도	238200
빅솔론	093190
빅텍	065450
빙그레	005180
빛샘전자	072950
사람인에이치알	143240
사조대림	003960
사조동아원	008040
사조산업	007160
사조씨푸드	014710
사조오양	006090
사조해표	079660
삼강엠앤티	100090
삼광글라스	005090
삼기오토모티브	122350
삼륭물산	014970
삼목에스폼	018310
삼보모터스	053700
삼보산업	009620
삼보판지	023600
삼본전자	111870
삼부토건	001470
삼성SDI	006400
삼성공조	006660
삼성머스트스팩3호	309930
삼성물산	028260
삼성바이오로직스	207940
삼성스팩2호	291230
삼성에스디에스	018260
삼성엔지니어링	028050
삼성전기	009150
삼성전자	005930
삼성제약	001360
삼성중공업	010140
삼성출판사	068290
삼아알미늄	006110
삼아제약	009300
삼양사	145990
삼양식품	003230
삼양옵틱스	225190
삼양통상	002170
삼양패키징	272550
삼영무역	002810
삼영엠텍	054540
삼영이엔씨	065570
삼영전자공업	005680
삼영화학공업	003720
삼우엠스	082660
삼원강재	023000
삼원테크	073640
삼익THK	004380
삼익악기	002450
삼일	032280
삼일기업공사	002290
삼일제약	000520
삼정펄프	009770
삼지전자	037460
삼진	032750
삼진엘앤디	054090
삼진제약	005500
삼천당제약	000250
삼천리	004690
삼천리자전거	024950
삼표시멘트	038500
삼현철강	017480
삼호	001880
삼호개발	010960
삼화네트웍스	046390
삼화왕관	004450
삼화전기	009470
삼화전자공업	011230
삼화콘덴서공업	001820
삼화페인트공업	000390
상보	027580
상상인	038540
상상인인더스트리	101000
상신브레이크	041650
상신이디피	091580
상신전자	263810
상아프론테크	089980
상지카일룸	042940
새로닉스	042600
새론오토모티브	075180
샘코	263540
샘표	007540
샘표식품	248170
서린바이오	038070
서부T&D	006730
서산	079650
서암기계공업	100660
서연	007860
서연이화	200880
서연전자	012860
서연탑메탈	019770
서울도시가스	017390
서울리거	043710
서울반도체	046890
서울식품공업	004410
서울옥션	063170
서울전자통신	027040
서울제약	018680
서원	021050
서원인텍	093920
서전기전	189860
서진시스템	178320
서진오토모티브	122690
서플러스글로벌	140070
서한	011370
서호전기	065710
서흥	008490
서희건설	035890
선광	003100
선데이토즈	123420
선도전기	007610
선익시스템	171090
선진	136490
선창산업	002820
성광벤드	014620
성도이엔지	037350
성문전자	014910
성보화학	003080
성신양회	004980
성안	011300
성우전자	081580
성우테크론	045300
성우하이텍	015750
성창기업지주	000180
성창오토텍	080470
성호전자	043260
세기상사	002420
세동	053060
세명전기	017510
세미콘라이트	214310
세방	004360
세방전지	004490
세보엠이씨	011560
세아베스틸	001430
세아제강	306200
세아제강지주	003030
세아특수강	019440
세아홀딩스	058650
세우글로벌	013000
세운메디칼	100700
세원	234100
세원물산	024830
세원셀론텍	091090
세원정공	021820
세이브존I&C	067830
세종공업	033530
세종메디칼	258830
세종텔레콤	036630
세중	039310
세진중공업	075580
세진티에스	067770
세코닉스	053450
세하	027970
세화아이엠씨	145210
세화피앤씨	252500
셀루메드	049180
셀리드	299660
셀리버리	268600
셀바스AI	108860
셀바스헬스케어	208370
셀트리온	068270
셀트리온제약	068760
셀트리온헬스케어	091990
소리바다	053110
소프트센	032680
손오공	066910
솔고바이오	043100
솔루에타	154040
솔본	035610
솔브레인	036830
솔트웍스	230980
송원산업	004430
쇼박스	086980
수산아이앤티	050960
수산중공업	017550
수성	084180
슈펙스비앤피	058530
슈프리마	236200
슈프리마에이치큐	094840
슈피겐코리아	192440
스맥	099440
스카이문스테크놀로지	033790
스킨앤스킨	159910
스타플렉스	115570
스튜디오드래곤	253450
스튜디오썸머	008800
스페코	013810
승일	049830
시공테크	020710
시그네틱스	033170
시너지이노베이션	048870
시노펙스	025320
시디즈	134790
시스웍	269620
시큐브	131090
신대양제지	016590
신도리코	029530
신라교역	004970
신라섬유	001000
신라에스지	025870
신라젠	215600
신성델타테크	065350
신성이엔지	011930
신성통상	005390
신세계	004170
신세계I&C	035510
신세계건설	034300
신세계인터내셔날	031430
신세계푸드	031440
신송홀딩스	006880
신스타임즈	056000
신신제약	002800
신영와코루	005800
신원	009270
신원종합개발	017000
신일산업	002700
신일제약	012790
신진에스엠	138070
신풍제약	019170
신풍제지	002870
신한	005450
신화실업	001770
신화인터텍	056700
신화콘텍	187270
신흥	004080
신흥에스이씨	243840
실리콘웍스	108320
심텍	222800
심텍홀딩스	036710
싸이맥스	160980
싸이토젠	217330
쌍방울	102280
쌍용양회공업	003410
쌍용자동차	003620
쌍용정보통신	010280
써니전자	004770
썸에이지	208640
쎄노텍	222420
쎄니트	037760
쎄미시스코	136510
쎄트렉아이	099320
쎌바이오텍	049960
쏠리드	050890
씨씨에스	066790
씨아이에스	222080
씨아이테크	004920
씨앤지하이테크	264660
씨에스윈드	112610
씨엔플러스	115530
씨엠에스에듀	225330
씨유메디칼	115480
씨젠	096530
씨큐브	101240
씨트리	047920
씨티씨바이오	060590
씨티젠	036170
씨티케이코스메틱스	260930
아가방컴퍼니	013990
아나패스	123860
아난티	025980
아남전자	008700
아리온	058220
아모그린텍	125210
아모레퍼시픽	090430
아모레퍼시픽그룹	002790
아모텍	052710
아미노로직스	074430
아미코젠	092040
아바코	083930
아바텍	149950
아비코전자	036010
아세아	002030
아세아시멘트	183190
아세아제지	002310
아세아텍	050860
아스타	246720
아스트	067390
아시아경제	127710
아시아나IDT	267850
아시아나항공	020560
아우딘퓨쳐스	227610
아이디스	143160
아이디스홀딩스	054800
아이마켓코리아	122900
아이센스	099190
아이쓰리시스템	214430
아이씨디	040910
아이씨케이	068940
아이앤씨	052860
아이에스동서	010780
아이에스이커머스	069920
아이에이	038880
아이에이치큐	003560
아이엠	101390
아이엠텍	226350
아이오케이	078860
아이원스	114810
아이즈비전	031310
아이진	185490
아이컴포넌트	059100
아이큐어	175250
아이크래프트	052460
아이텍	119830
아이티센	124500
아즈텍WB	032080
아진산업	013310
아진엑스텍	059120
아트라스BX	023890
아프리카TV	067160
안국약품	001540
안랩	053800
안트로젠	065660
알루코	001780
알리코제약	260660
알보젠코리아	002250
알서포트	131370
알에스오토메이션	140670
알에프세미	096610
알에프텍	061040
알엔투테크놀로지	148250
알테오젠	196170
알톤스포츠	123750
알티캐스트	085810
알파홀딩스	117670
애경산업	018250
애경유화	161000
애니젠	196300
액션스퀘어	205500
액토즈소프트	052790
액트	131400
액트로	290740
앤디포스	238090
앤씨앤	092600
앱클론	174900
야스	255440
양지사	030960
어보브반도체	102120
에너전트	041590
에너토크	019990
에넥스	011090
에버다임	041440
에스넷	038680
에스디생명공학	217480
에스디시스템	121890
에스마크	030270
에스맥	097780
에스모	073070
에스씨디	042110
에스아이리소스	065420
에스앤더블류	103230
에스앤에스텍	101490
에스에너지	095910
에스에스알	275630
에스에이엠티	031330
에스에이티	060540
에스에프씨	112240
에스에프에이	056190
에스엔유	080000
에스엔텍	160600
에스엘	005850
에스엠	041510
에스엠코어	007820
에스와이	109610
에스원	012750
에스제이엠	123700
에스제이엠홀딩스	025530
에스제이케이	080440
에스코넥	096630
에스텍	069510
에스텍파마	041910
에스트래픽	234300
에스티아이	039440
에스티오	098660
에스티큐브	052020
에스티팜	237690
에스폴리텍	050760
에스퓨얼셀	288620
에스피지	058610
에쎈테크	043340
에쓰씨엔지니어링	023960
에어부산	298690
에이디칩스	054630
에이디테크놀로지	200710
에이리츠	140910
에이블씨엔씨	078520
에이비엘바이오	298380
에이스침대	003800
에이스테크	088800
에이씨티	138360
에이아이비트	039230
에이앤티앤	050320
에이엔피	015260
에이치시티	072990
에이치엔티	176440
에이치엘비	028300
에이치엘비생명과학	067630
에이치엘비파워	043220
에이치엘사이언스	239610
에이치케이	044780
에이테크솔루션	071670
에이텍	045660
에이텍티앤	224110
에이티넘인베스트	021080
에이티세미콘	089530
에이티젠	182400
에이프로젠 H&G	109960
에이프로젠 KIC	007460
에이프로젠제약	003060
에이피티씨	089970
에치에프알	230240
에코마이스터	064510
에코마케팅	230360
에코바이오	038870
에코캡	128540
에코프로	086520
에코프로비엠	247540
에코플라스틱	038110
에프알텍	073540
에프앤리퍼블릭	064090
에프에스티	036810
에프엔씨엔터	173940
에프엔에스테크	083500
엑사이엔씨	054940
엑세스바이오	950130
엑셈	205100
엑시콘	092870
엔브이에이치코리아	067570
엔시트론	101400
엔씨소프트	036570
엔에스	217820
엔에스쇼핑	138250
엔에스엔	031860
엔에이치엔	181710
엔지스테크널러지	208860
엔지켐생명과학	183490
엔케이	085310
엔케이물산	009810
엔터메이트	206400
엔텔스	069410
엔피씨	004250
엔피케이	048830
엘디티	096870
엘비세미콘	061970
엘아이에스	138690
엘앤씨바이오	290650
엘앤에프	066970
엘앤케이바이오	156100
엘엠에스	073110
엘오티베큠	083310
엘컴텍	037950
엘티씨	170920
엠게임	058630
엠씨넥스	097520
엠아이텍	179290
엠에스씨	009780
엠에스오토텍	123040
엠젠플러스	032790
엠케이전자	033160
엠코르셋	204020
엠플러스	259630
연우	115960
연이정보통신	090740
영보화학	014440
영신금속	007530
영우디에스피	143540
영원무역	111770
영원무역홀딩스	009970
영인프런티어	036180
영진약품	003520
영풍	000670
영풍정밀	036560
영풍제지	006740
영화금속	012280
영화테크	265560
영흥철강	012160
예림당	036000
예스24	053280
예스코홀딩스	015360
예스티	122640
오공	045060
오디텍	080520
오뚜기	007310
오로라	039830
오르비텍	046120
오리엔탈정공	014940
오리엔트바이오	002630
오리엔트정공	065500
오리온	271560
오리온홀딩스	001800
오리콤	010470
오상자이엘	053980
오성첨단소재	052420
오션브릿지	241790
오스코텍	039200
오스테오닉	226400
오스템	031510
오스템임플란트	048260
오이솔루션	138080
오킨스전자	080580
오텍	067170
오파스넷	173130
오픈베이스	049480
올릭스	226950
옴니시스템	057540
옴니텔	057680
옵토팩	123010
옵트론텍	082210
옵티시스	109080
옵티팜	153710
와이디온라인	052770
와이비엠넷	057030
와이솔	122990
와이아이케이	232140
와이엔텍	067900
와이엠씨	155650
와이엠티	251370
와이오엠	066430
와이제이엠게임즈	193250
와이지-원	019210
와이지엔터테인먼트	122870
와토스코리아	079000
용평리조트	070960
우노앤컴퍼니	114630
우리기술	032820
우리넷	115440
우리들제약	004720
우리들휴브레인	118000
우리로	046970
우리바이오	082850
우리산업	215360
우리산업홀딩스	072470
우리손에프앤지	073560
우리이앤엘	153490
우리조명	037400
우림기계	101170
우성사료	006980
우수AMS	066590
우신시스템	017370
우원개발	046940
우정바이오	215380
우주일렉트로	065680
우진	105840
우진비앤지	018620
우진아이엔에스	010400
우진플라임	049800
웅진	016880
웅진씽크빅	095720
웅진에너지	103130
웅진코웨이	021240
원림	005820
원익	032940
원익IPS	240810
원익QnC	074600
원익머트리얼즈	104830
원익큐브	014190
원익홀딩스	030530
원일특강	012620
원풍	008370
원풍물산	008290
월덱스	101160
웨이브일렉트로	095270
웰바이오텍	010600
웰크론	065950
웰크론강원	114190
웰크론한텍	076080
웹스	196700
웹젠	069080
웹케시	053580
위닉스	044340
위메이드	112040
위즈코프	038620
위지윅스튜디오	299900
위지트	036090
윈스	136540
윈팩	097800
윈하이텍	192390
윌비스	008600
유나이티드	033270
유니드	014830
유니셈	036200
유니슨	018000
유니온	000910
유니온머티리얼	047400
유니온커뮤니티	203450
유니켐	011330
유니퀘스트	077500
유니크	011320
유니테스트	086390
유니테크노	241690
유니트론텍	142210
유라테크	048430
유바이오로직스	206650
유비벨록스	089850
유비케어	032620
유비쿼스	264450
유비쿼스홀딩스	078070
유성기업	002920
유성티엔에스	024800
유수홀딩스	000700
유신	054930
유아이디	069330
유아이엘	049520
유앤아이	056090
유양디앤유	011690
유에스티	263770
유엔젤	072130
유유제약	000220
유지인트	195990
유진기업	023410
유진로봇	056080
유진테크	084370
유테크	178780
유티아이	179900
유틸렉스	263050
유한양행	000100
육일씨엔에쓰	191410
율촌화학	008730
이건산업	008250
이건홀딩스	039020
이구산업	025820
이그잭스	060230
이글루시큐리티	067920
이글벳	044960
이노메트리	302430
이노션	214320
이노와이어리스	073490
이노인스트루먼트	215790
이노테라피	246960
이녹스	088390
이녹스첨단소재	272290
이니텍	053350
이더블유케이	258610
이라이콤	041520
이랜텍	054210
이루온	065440
이마트	139480
이매진아시아	036260
이미지스	115610
이상네트웍스	080010
이수앱지스	086890
이수페타시스	007660
이수화학	005950
이스타코	015020
이스트소프트	047560
이씨에스	067010
이아이디	093230
이에스브이	223310
이에스에이	052190
이엑스티	226360
이엔에프테크놀로지	102710
이엘케이	094190
이엘피	063760
이엠넷	123570
이엠코리아	095190
이엠텍	091120
이연제약	102460
이오테크닉스	039030
이원컴포텍	088290
이월드	084680
이즈미디어	181340
이지바이오	035810
이지웰페어	090850
이지케어텍	099750
이크레더블	092130
이테크건설	016250
이트론	096040
이퓨쳐	134060
이화공영	001840
이화산업	000760
이화전기	024810
인디에프	014990
인바디	041830
인베니아	079950
인산가	277410
인선이엔티	060150
인성정보	033230
인스코비	006490
인지디스플레	037330
인지컨트롤스	023800
인천도시가스	034590
인콘	083640
인크로스	216050
인탑스	049070
인터로조	119610
인터불스	158310
인터지스	129260
인터파크	108790
인터파크홀딩스	035080
인터플렉스	051370
인텍플러스	064290
인텔리안테크	189300
인트로메딕	150840
인트론바이오	048530
인팩	023810
인포마크	175140
인포바인	115310
인포뱅크	039290
인프라웨어	041020
인피니트헬스케어	071200
인화정공	101930
일동제약	249420
일동홀딩스	000230
일성건설	013360
일성신약	003120
일신바이오	068330
일신방직	003200
일신석재	007110
일야	058450
일양약품	007570
일정실업	008500
일지테크	019540
일진다이아	081000
일진디스플	020760
일진머티리얼즈	020150
일진전기	103590
일진파워	094820
일진홀딩스	015860
잇츠한불	226320
잉글우드랩	950140
잉크테크	049550
자연과환경	043910
자이글	234920
자화전자	033240
장원테크	174880
재영솔루텍	049630
전방	000950
전진바이오팜	110020
전파기지국	065530
정다운	208140
정산애강	022220
정상제이엘에스	040420
정원엔시스	045510
제낙스	065620
제너셈	217190
제넥신	095700
제넨바이오	072520
제노레이	122310
제노포커스	187420
제닉	123330
제로투세븐	159580
제룡산업	147830
제룡전기	033100
제우스	079370
제이브이엠	054950
제이스테판	096690
제이스텍	090470
제이씨케미칼	137950
제이씨현시스템	033320
제이에스코퍼레이션	194370
제이에스티나	026040
제이엔케이히터	126880
제이엠아이	033050
제이엠티	094970
제이웨이	058420
제이준코스메틱	025620
제이콘텐트리	036420
제이티	089790
제일기획	030000
제일바이오	052670
제일약품	271980
제일연마	001560
제일제강	023440
제일테크노스	038010
제일파마홀딩스	002620
제주반도체	080220
제주항공	089590
젬백스	082270
조광ILI	044060
조광페인트	004910
조광피혁	004700
조비	001550
조선내화	000480
조선선재	120030
조아제약	034940
조이맥스	101730
조이시티	067000
조일알미늄	018470
조흥	002600
종근당	185750
종근당바이오	063160
종근당홀딩스	001630
좋은사람들	033340
주성엔지니어링	036930
주연테크	044380
중앙리빙테크	051980
중앙백신	072020
중앙에너비스	000440
중앙오션	054180
지노믹트리	228760
지니뮤직	043610
지니언스	263860
지란지교시큐리티	208350
지스마트글로벌	114570
지어소프트	051160
지에스이	053050
지엔씨에너지	119850
지엔코	065060
지엘팜텍	204840
지엠비코리아	013870
지엠피	018290
지역난방공사	071320
지와이커머스	111820
지코	010580
지투알	035000
지투하이소닉	106080
지트리비앤티	115450
지티지웰니스	219750
진도	088790
진로발효	018120
진매트릭스	109820
진바이오텍	086060
진성티이씨	036890
진양산업	003780
